"Company","Model","Buyer Gender","Buyer Age","Country","Color","New Car","Sale Price","Discount","Resell Price","Top Speed"
"Saab","9-2X","Male","67","India","Pink","","99305.5","0.5959","6753.2","120.3"
"Buick","Skylark","Female","57","India","Violet","1","57747.61","0.0135","31158.31","220.2"
"Ford","Escape","Male","42","India","Crimson","1","56105.94","0.5192","48912.1","205.3"
"Mercury","Sable","Female","66","India","Orange","","54543.15","0.6549","39275.37","185.2"
"Plymouth","Colt","Female","67","India","Teal","","98635.22","0.6865","12622.44","130.6"
"Infiniti","G","Female","68","India","Goldenrod","","14908.65","0.0943","44991.92","140.7"
"Maserati","Spyder","Female","65","India","Violet","","98249.11","0.4141","42102.6","208.9"
"Buick","Riviera","Female","49","India","Indigo","1","18698.98","0.1543","35681.18","230.7"
"Cadillac","Seville","Male","52","India","Turquoise","1","31017.64","0.1139","11061.65","132.6"
"Buick","Century","Male","75","India","Turquoise","","32002.48","0.2772","23777.88","224.7"
"Scion","iQ","Male","48","India","Teal","","74486.44","0.4516","12498.33","177.8"
"BMW","7 Series","Male","29","India","Teal","1","89823.58","0.3765","2386.28","160.8"
"Chevrolet","Camaro","Male","49","India","Maroon","","33074.12","0.3942","25108.18","138.3"
"Subaru","Outback","Female","72","India","Yellow","","71250.14","0.2833","16427.16","193.4"
"Mercedes-Benz","C-Class","Female","23","India","Purple","","17346.3","0.1651","35127.97","227.5"
"Mercedes-Benz","Sprinter 3500","Female","28","India","Green","","17223.27","0.1352","41532.58","236.5"
"Chevrolet","Suburban 1500","Male","36","India","Pink","1","10490.64","0.4448","16590.68","230.7"
"Volkswagen","Cabriolet","Female","22","India","Fuscia","1","62673.34","0.2907","30736.63","195.4"
"Ford","E-Series","Female","40","India","Indigo","1","10978.72","0.6184","43459.97","213"
"Pontiac","Bonneville","Male","20","India","Goldenrod","","30807.01","0.4902","5822.22","170"
"Volvo","XC70","Male","48","India","Orange","1","83931.45","0.558","33976.28","125.2"
"Chevrolet","Silverado 3500","Male","60","India","Red","1","19302.57","0.2671","38297.54","233.3"
"Volkswagen","Phaeton","Male","45","India","Red","1","36523.47","0.1267","48115.11","182.4"
"Cadillac","CTS","Female","57","India","Indigo","1","93725.09","0.2","9196.36","232.3"
"Dodge","Durango","Female","48","India","Green","","48174.96","0.1","27476.49","210"
"Ford","Th!nk","Female","54","India","Red","1","39940.53","0.6543","21190.78","133.5"
"Lincoln","Continental","Male","40","India","Mauv","","62801.41","0.0507","30282.08","145.1"
"Buick","Riviera","Male","43","India","Mauv","","99186.8","0.057","25198.46","163.2"
"Dodge","Ram 1500","Male","37","India","Indigo","","12092.44","0.4744","36585.91","127.8"
"Buick","Rendezvous","Female","67","India","Red","1","85370.17","0.5946","43712.39","122"
"Porsche","928","Female","52","India","Red","","91569.45","0.4036","32465.38","238.2"
"Toyota","Tacoma","Male","47","India","Blue","1","72220.87","0.0389","32189.6","189.9"
"Mitsubishi","Mighty Max","Male","51","India","Puce","1","67361","0.0754","8769.93","173.4"
"Nissan","Pathfinder","Female","33","India","Puce","1","16690.95","0.1239","43704.45","140.9"
"Volvo","C70","Male","75","India","Yellow","","80005.09","0.2991","17870.18","184.5"
"Land Rover","Range Rover Sport","Female","39","India","Mauv","","29540.76","0.1941","37955.07","239.9"
"Mazda","B-Series","Female","57","India","Puce","1","94478.19","0.5603","8795.96","241.1"
"Mazda","Miata MX-5","Female","33","India","Goldenrod","1","77820.86","0.4957","7471.61","167.6"
"Mazda","B-Series","Male","23","India","Fuscia","1","89937.38","0.4935","18059.9","247.1"
"Kia","Sedona","Female","47","India","Aquamarine","","14249.35","0.3563","18006.37","131.8"
"Dodge","Ram Wagon B150","Female","31","India","Orange","1","88403.45","0.6041","38462.86","140.5"
"Oldsmobile","Aurora","Male","29","India","Yellow","1","80008.79","0.5568","15031.08","212.2"
"Hyundai","Accent","Male","24","India","Violet","","96871.79","0.1005","26562.59","221.9"
"Cadillac","Seville","Male","56","India","Maroon","1","32886.45","0.5906","8755.67","210.2"
"Hyundai","Scoupe","Female","54","India","Turquoise","","61187.73","0.2211","5769.58","193.4"
"Lincoln","MKT","Male","22","India","Mauv","","82041.15","0.4005","4828.57","194.4"
"Volkswagen","riolet","Male","68","India","Fuscia","","61672.51","0.6507","20056.62","180.6"
"Land Rover","Range Rover","Male","26","India","Blue","1","63541.5","0.3331","25320.33","156.6"
"Dodge","Dakota","Male","69","India","Indigo","1","67756.75","0.5481","48952.84","171.1"
"Chevrolet","Corvette","Male","31","India","Purple","1","26799.6","0.327","14872.73","237.1"
"Mitsubishi","i-MiEV","Female","61","India","Mauv","","86271.49","0.3916","8972.83","171.5"
"GMC","Rally Wagon 3500","Male","33","India","Khaki","","20227.66","0.6088","13643.1","201.4"
"Acura","TSX","Female","53","India","Yellow","1","95145.37","0.1882","8939.94","135.6"
"Acura","ZDX","Male","21","India","Khaki","","78654.35","0.5165","40166.49","243.9"
"Jeep","Cherokee","Female","47","India","Maroon","","12269.08","0.2123","24563.29","199.8"
"Toyota","Avalon","Female","24","India","Aquamarine","1","86030.75","0.4619","11812.27","209.8"
"Lamborghini","Aventador","Male","66","India","Fuscia","","13125.55","0.2144","22598.45","196.6"
"Mercury","Tracer","Male","74","India","Teal","","10325.14","0.3594","37585.42","164.4"
"Chevrolet","Express 3500","Male","53","India","Green","","94891.39","0.3807","40867.01","233.7"
"Buick","Reatta","Male","40","India","Blue","1","41371.09","0.5978","37181","120.9"
"Volkswagen","Jetta","Male","32","India","Fuscia","","72916.91","0.0153","25187.09","167.4"
"Lincoln","Navigator L","Male","30","India","Goldenrod","","49236.57","0.233","43125.82","233"
"Nissan","300ZX","Female","65","India","Green","","89316.77","0.4114","48449.81","232"
"Toyota","MR2","Female","40","India","Fuscia","1","50551.94","0.1761","17203.48","217"
"Suzuki","Swift","Male","68","India","Purple","1","65942.41","0.3707","5906.33","142.8"
"Mitsubishi","Tredia","Male","21","India","Teal","","64606.94","0.1835","13087.44","158.5"
"Mitsubishi","Mirage","Male","51","India","Pink","1","36633.17","0.0835","44886.19","135.3"
"Chevrolet","Monte Carlo","Female","22","India","Purple","","71271.58","0.2057","35814.7","139.5"
"Saturn","VUE","Male","72","India","Pink","1","51257.04","0.5219","33433.41","124.9"
"Volkswagen","GTI","Female","24","India","Mauv","1","21483.41","0.5382","28182.4","193.7"
"Plymouth","Prowler","Female","66","India","Yellow","","96277.99","0.0542","23765.17","164.9"
"Audi","A8","Female","37","India","Maroon","","11287.25","0.3109","34835.55","169.1"
"Lamborghini","Diablo","Male","38","India","Mauv","","87311.9","0.3602","42468.37","245.1"
"Mercedes-Benz","R-Class","Male","71","India","Maroon","1","32143.59","0.3586","29177.53","134.3"
"Cadillac","XLR","Female","73","India","Violet","","94162.23","0.6042","9953.73","139.6"
"Mazda","626","Male","67","India","Yellow","","80656.65","0.5077","48768.09","157.9"
"Pontiac","Firebird","Female","29","India","Yellow","","94996.07","0.0866","20574.37","211.9"
"Honda","Fit","Male","66","India","Crimson","","64560.37","0.4185","37241.46","143.2"
"Lexus","ES","Male","34","India","Khaki","","75463.55","0.6147","35588.91","249"
"BMW","7 Series","Female","40","India","Yellow","","22060.5","0.2873","17943.65","171"
"Mazda","Millenia","Male","62","India","Aquamarine","","82657.77","0.5422","40091.69","177.1"
"Cadillac","STS","Female","21","India","Red","1","81090.19","0.1061","9615.36","244.3"
"Porsche","911","Male","37","India","Green","","97251.74","0.6322","42643.45","228.9"
"Chevrolet","Camaro","Male","56","India","Aquamarine","","75317.54","0.1836","9056.29","191.3"
"Toyota","Paseo","Female","68","India","Puce","1","75504.88","0.0641","17685.3","147.3"
"Cadillac","Escalade ESV","Female","22","India","Blue","","30728.18","0.2784","45652.52","203.9"
"Oldsmobile","Alero","Female","58","India","Teal","1","11609.78","0.1487","18772.76","238.5"
"Lexus","GS","Male","27","India","Turquoise","","57177.42","0.5584","49239.84","182.7"
"BMW","M3","Female","26","India","Pink","","94448.79","0.3456","33328.55","193.8"
"Cadillac","Escalade","Female","63","India","Green","","63096.11","0.0116","19383.63","229"
"Pontiac","Trans Sport","Female","24","India","Indigo","1","42191.59","0.3234","6153.48","195.1"
"Honda","Civic","Male","24","India","Red","","57860.96","0.3663","23047.65","128.2"
"Mercury","Topaz","Female","53","India","Orange","","78275.4","0.4228","47037.99","188"
"Mazda","MPV","Female","25","India","Crimson","","85619.92","0.375","23323.23","231.3"
"Toyota","MR2","Female","42","India","Violet","1","15788.39","0.1417","6342.62","248.6"
"Suzuki","Swift","Female","61","India","Violet","","94045.36","0.292","43612.23","193.9"
"Honda","Civic","Male","41","India","Green","","14212.88","0.5741","42933.75","201.2"
"BMW","6 Series","Male","20","India","Aquamarine","1","33527.91","0.4813","38401.36","137.2"
"Mercury","Lynx","Male","26","India","Red","1","29563.05","0.6375","49251.28","149"
"Buick","Century","Female","40","India","Red","1","28069.14","0.5426","3384.26","160.7"
"BMW","330","Male","67","India","Fuscia","1","36588.29","0.6931","40824.76","177.9"
"Mitsubishi","Cordia","Female","65","India","Blue","1","86350.32","0.2886","19850.62","124.5"
"Volvo","XC90","Female","44","India","Khaki","1","36700.85","0.3661","45806.23","242"
"Maserati","228","Female","57","India","Maroon","1","34974.97","0.3454","13020.82","174.2"
"Chevrolet","Venture","Male","31","India","Goldenrod","","30928.23","0.2766","23444.88","225.1"
"Cadillac","DeVille","Female","35","India","Violet","","66283.98","0.1554","2409.83","233.3"
"Lexus","IS-F","Female","53","India","Green","","75332.73","0.5734","32384.92","124.1"
"Nissan","Sentra","Male","34","India","Turquoise","","30464.6","0.2383","3131.75","128.5"
"Ford","Escort","Female","37","India","Blue","","63177.26","0.6657","33893.06","221.4"
"Oldsmobile","Cutlass Supreme","Female","56","India","Red","","46709.45","0.1984","46184.9","158.4"
"Audi","S8","Female","23","India","Yellow","1","62496.9","0.0454","49168.17","236.8"
"Pontiac","Firebird","Male","45","India","Indigo","1","71301.2","0.5589","15055.83","228.5"
"Hyundai","Elantra","Female","20","India","Mauv","","66157.63","0.4681","8070.75","125.1"
"Aston Martin","DB9","Male","47","India","Violet","","75881.16","0.6649","10743.31","240"
"Volkswagen","New Beetle","Male","36","India","Pink","","34156.39","0.2888","13071.68","172.3"
"Chevrolet","Uplander","Male","59","India","Green","","80753.77","0.49","43638.05","246.5"
"Ford","Laser","Female","72","India","Pink","1","42705.38","0.0404","36280.09","187"
"Audi","S4","Male","54","India","Pink","","91954.75","0.3502","26324.05","220.6"
"Chevrolet","Silverado 3500","Male","31","India","Red","1","27819.81","0.159","6869.51","212.2"
"Pontiac","LeMans","Male","57","India","Teal","1","21740.31","0.6864","7654.25","239.1"
"Mercedes-Benz","E-Class","Female","41","India","Goldenrod","","69723.76","0.3496","42080.13","231.7"
"Hyundai","Tiburon","Male","42","India","Crimson","1","77331.24","0.5947","33602.25","211.9"
"BMW","5 Series","Male","47","India","Fuscia","1","34912.47","0.6632","27425.31","151.7"
"Toyota","Echo","Female","27","India","Turquoise","1","47526.31","0.3834","24888.7","155"
"Mitsubishi","Precis","Male","57","India","Maroon","1","13154.21","0.2667","2261.63","142.2"
"Plymouth","Breeze","Female","36","India","Blue","","72003.02","0.5215","38508.27","180.6"
"BMW","Alpina B7","Female","74","India","Crimson","","30087.14","0.343","13755.88","232.1"
"Lamborghini","Gallardo","Female","71","India","Indigo","1","73063.61","0.2606","10648","229.5"
"Chevrolet","Corvette","Male","30","India","Yellow","","62426.28","0.1793","3388.52","126.8"
"Oldsmobile","Cutlass Supreme","Male","34","India","Pink","","25403.61","0.4088","26004.13","177.3"
"Pontiac","Grand Am","Female","20","India","Teal","","30618.42","0.1583","15690.94","194"
"Pontiac","LeMans","Male","51","India","Teal","1","11462.18","0.0404","23415.84","205.4"
"Audi","S6","Female","46","India","Indigo","1","14625.68","0.6734","5684.73","232.8"
"Toyota","Celica","Female","48","India","Teal","","81325.5","0.4594","14341.09","186.8"
"Mazda","Mazdaspeed 3","Male","66","India","Fuscia","1","87205.22","0.1708","30566.12","225.1"
"Porsche","Cayenne","Male","30","India","Red","","31749.91","0.6198","14153.44","133.6"
"GMC","Sierra 3500HD","Female","33","India","Puce","1","16808.62","0.2544","5304.96","249.9"
"Toyota","Sienna","Male","24","India","Crimson","1","13332.2","0.1886","32824.09","172.7"
"Audi","Allroad","Male","50","India","Crimson","1","80022.41","0.465","46695.57","129.5"
"Chevrolet","Corvette","Male","46","India","Blue","1","30130.99","0.1085","6399.59","233.8"
"Mitsubishi","Tredia","Female","29","India","Crimson","","60357.76","0.5858","24392.8","199"
"GMC","Yukon","Male","24","India","Goldenrod","","56553.1","0.5847","46591.32","239.8"
"Pontiac","Safari","Male","21","India","Purple","","99419.92","0.1432","10087.39","229.2"
"Mazda","B-Series Plus","Female","29","India","Mauv","","32137.64","0.3528","5230.03","137.3"
"Ford","Mustang","Male","72","India","Orange","","48280.51","0.0345","13071.28","189.3"
"Volkswagen","GTI","Female","59","India","Puce","","52939.81","0.3158","30520.4","243.9"
"GMC","1500","Male","56","India","Blue","","70947.97","0.5735","3345.73","234.9"
"Saturn","Outlook","Female","47","India","Yellow","1","59323.59","0.5994","12648.14","228.8"
"Audi","100","Male","70","India","Mauv","","38479","0.3906","3585.18","133.8"
"Ford","Focus","Male","21","India","Blue","","88463.65","0.3961","4687.74","219.6"
"Subaru","XT","Female","21","India","Khaki","","31546.77","0.6912","12981.16","146"
"Mitsubishi","Mirage","Female","41","India","Blue","","84248.68","0.6277","15675.48","239.5"
"Mercedes-Benz","C-Class","Male","71","India","Yellow","","60009.63","0.4856","23231.41","146.2"
"Porsche","911","Female","45","India","Green","1","22367.26","0.1297","41425.13","233.2"
"Mazda","Familia","Male","65","India","Purple","","55032.77","0.0635","6853.18","230.5"
"Lexus","ES","Female","43","India","Red","1","75442.59","0.1609","31521.94","170.4"
"Pontiac","LeMans","Male","25","India","Orange","1","48479.09","0.2707","48343.88","136.2"
"Land Rover","Discovery","Female","40","India","Khaki","1","16038.14","0.4928","11208.85","126.9"
"Land Rover","Defender 90","Female","44","India","Indigo","","13460.73","0.1776","27265.65","150.8"
"Lamborghini","Gallardo","Male","46","India","Fuscia","","28314.33","0.2749","9076.38","241.8"
"Mercury","Cougar","Female","57","India","Goldenrod","","10068.96","0.137","49528.57","177.8"
"Toyota","Prius","Male","24","India","Aquamarine","1","18969.77","0.4692","43529.06","214.4"
"Ford","Focus","Female","73","India","Purple","1","52975.46","0.257","6970.7","224.3"
"Aston Martin","DBS","Male","25","India","Maroon","","91905.14","0.5861","3540.51","166.1"
"Hyundai","Santa Fe","Male","61","India","Pink","1","74914.14","0.3327","4255.97","149.4"
"Chevrolet","Cavalier","Female","39","India","Indigo","1","55848.72","0.6255","37296.01","222.7"
"Saab","9000","Female","74","India","Blue","","97974.41","0.4869","16574.31","167.2"
"Mazda","MX-5","Male","28","India","Blue","","45392.43","0.07","41211.83","152.5"
"Maybach","62","Male","67","India","Turquoise","","79360.54","0.5917","9483.17","171.3"
"Subaru","Tribeca","Male","36","India","Purple","","84113.72","0.3144","32471.31","205.2"
"Infiniti","Q","Male","24","India","Maroon","1","56870.27","0.3153","35771.5","158.4"
"Mitsubishi","Montero","Male","39","India","Green","1","94575.46","0.5535","31017.51","161.6"
"Dodge","Ram 2500","Male","31","India","Fuscia","1","37808.65","0.5404","22136.94","170.9"
"Lincoln","Aviator","Male","32","India","Green","","24817.01","0.1021","9430.51","177.5"
"Lamborghini","Murciélago","Male","74","India","Yellow","","30722.81","0.2475","43911.51","135"
"Dodge","Ram Van 2500","Male","31","India","Turquoise","","39006.43","0.3132","3943.98","246.9"
"Volkswagen","Eos","Female","30","India","Orange","","60082.82","0.0451","20661.06","218.1"
"Lincoln","MKX","Female","63","India","Goldenrod","","63011.73","0.6561","7803.9","173.5"
"Land Rover","Range Rover Sport","Male","27","India","Purple","","10775.58","0.0577","24682.55","171.6"
"Dodge","Magnum","Female","61","India","Green","","14516.11","0.5906","2797.19","231.7"
"Isuzu","Oasis","Male","42","India","Fuscia","1","75790.07","0.4226","43256","154.5"
"Ford","Freestar","Female","21","India","Yellow","1","89326.21","0.0499","3522.12","170"
"Chevrolet","Caprice","Male","68","India","Maroon","","60915.51","0.0916","6349.97","249.7"
"Toyota","T100 Xtra","Male","24","India","Teal","","86299.13","0.1486","40268","157.2"
"Dodge","Magnum","Female","67","India","Green","","29955.68","0.4498","18085.16","209.3"
"Oldsmobile","Ciera","Female","69","India","Goldenrod","","59256.98","0.2683","41532.54","137.3"
"Pontiac","LeMans","Male","74","India","Maroon","","63067.35","0.6624","42313.65","148.1"
"Land Rover","Freelander","Male","53","India","Mauv","","26329.33","0.4889","33498.13","193.1"
"Chevrolet","Impala","Male","70","India","Yellow","","59674.29","0.6383","14520.45","200.2"
"Nissan","Xterra","Male","27","India","Yellow","1","40376.83","0.6518","47528.31","148.2"
"Volvo","240","Female","69","India","Puce","","70282.48","0.3839","21808.48","215.4"
"Cadillac","XLR","Male","73","India","Orange","","71441.27","0.0311","13379.78","137.8"
"Ford","F-Series","Male","50","India","Purple","1","96044.54","0.022","30790.06","163"
"Mazda","Mazda6","Female","23","India","Goldenrod","","96021.18","0.1032","40886.86","145.2"
"Acura","TL","Female","42","India","Orange","","35466.67","0.2547","49988.65","134"
"Bentley","Continental Flying Spur","Female","69","India","Khaki","","47121.75","0.2749","10736.67","153.9"
"Ford","Mustang","Female","63","India","Red","","69950.43","0.3665","7805.98","164.5"
"Chevrolet","3500","Female","28","India","Yellow","1","69724.71","0.6223","45833.93","230.1"
"Lotus","Evora","Male","74","India","Violet","1","13665.77","0.3539","11270.33","205.6"
"Ford","E-Series","Female","40","India","Turquoise","","16703.6","0.3322","18211.27","223.8"
"Mercedes-Benz","SLK-Class","Male","57","India","Indigo","1","81096.87","0.6661","16657.94","183.8"
"Volkswagen","Fox","Male","61","India","Aquamarine","","31408.41","0.196","7554.95","209.6"
"Citroën","CX","Female","27","India","Orange","","82467.24","0.3168","43353.82","164.8"
"Acura","MDX","Male","22","India","Turquoise","","49403.01","0.6446","19769.29","190.7"
"Hyundai","Sonata","Female","65","India","Maroon","","20287.82","0.3996","39267.73","134.3"
"Isuzu","Axiom","Female","41","India","Indigo","","81898.6","0.4413","37033.24","189.6"
"Saab","9-7X","Male","63","India","Khaki","","95642.67","0.1899","45199.88","208"
"Mitsubishi","Chariot","Male","23","India","Teal","","43118.75","0.2198","5297.9","244.6"
"Plymouth","Grand Voyager","Male","36","India","Purple","","58237.59","0.5048","20051.85","133.9"
"Lamborghini","Countach","Female","62","India","Puce","","91260.76","0.075","43179.93","230.2"
"Nissan","Sentra","Male","67","India","Crimson","1","85349.49","0.6122","44271.84","149.9"
"Isuzu","i-370","Male","42","India","Mauv","","66554.94","0.3513","9978.65","179.7"
"Chevrolet","Silverado 1500","Male","71","India","Crimson","1","60285.33","0.1826","25284.99","186.6"
"Lamborghini","Gallardo","Female","24","India","Aquamarine","","70126.32","0.5327","4893.23","134.7"
"Pontiac","LeMans","Male","68","India","Aquamarine","1","53049.7","0.4426","14709.55","210.1"
"Volkswagen","Jetta III","Female","65","India","Mauv","","72820.81","0.1671","45000.87","135.8"
"Lexus","SC","Female","45","India","Orange","","84375.37","0.6647","30302.92","242.8"
"Honda","Element","Female","61","India","Red","1","88651.23","0.0806","26047.97","192.6"
"Ford","Econoline E250","Male","73","India","Red","1","24963.26","0.5405","29193.94","191.2"
"Mazda","Mazda3","Female","43","India","Puce","1","42928.14","0.4192","33277.99","209.9"
"Ford","F350","Male","40","India","Yellow","1","92656.05","0.5579","9528.66","155.7"
"Ford","Taurus","Female","43","India","Indigo","","87981.16","0.5736","28259.63","146.1"
"Toyota","Sienna","Female","61","India","Blue","1","51824.8","0.4905","30556.69","150.2"
"Buick","Riviera","Male","20","India","Teal","1","75434.09","0.0065","25020.38","245"
"Audi","A8","Female","40","India","Fuscia","1","86749.45","0.4377","34427.83","231.2"
"Lincoln","Continental","Female","75","India","Aquamarine","","72493.43","0.5021","7370.67","123.3"
"MINI","Cooper","Female","51","India","Pink","1","27285.24","0.525","39514.13","163.2"
"Buick","Riviera","Female","49","India","Violet","","36099.63","0.0605","22804.26","172.5"
"Isuzu","Amigo","Male","34","India","Puce","","26367.76","0.04","45725.62","136.8"
"Mazda","Familia","Male","25","India","Orange","","43100.74","0.4198","13932.8","152.5"
"Scion","tC","Male","52","India","Green","","22557.76","0.247","26652.49","195.1"
"Saab","9000","Female","39","India","Maroon","1","56186.48","0.5977","40632.62","154.5"
"Mitsubishi","Outlander","Female","34","India","Puce","1","88166.34","0.4193","29271.86","124.3"
"Kia","Sedona","Male","32","India","Yellow","1","43710.8","0.5293","14444.76","229.1"
"Toyota","Camry Hybrid","Female","72","India","Orange","1","18659.96","0.4481","4341.61","176.5"
"Saab","9000","Male","43","India","Turquoise","","77749.44","0.3559","32002.04","165.2"
"Infiniti","QX","Male","47","India","Khaki","1","40038.24","0.1312","5889.63","211.9"
"Honda","Accord","Male","44","India","Turquoise","","24065.74","0.4153","21455.09","144.5"
"Mitsubishi","Galant","Male","48","India","Blue","1","16229.59","0.171","4422.27","244.8"
"Chevrolet","Venture","Male","62","India","Turquoise","","61050.55","0.637","37888.58","169.1"
"Ford","LTD Crown Victoria","Female","34","India","Yellow","","98178.88","0.3441","10216.59","137"
"Mercedes-Benz","M-Class","Female","67","India","Yellow","","80348.1","0.1638","31862.65","143.6"
"Daewoo","Lanos","Male","33","India","Turquoise","","67709.06","0.2826","40696.25","144.9"
"Subaru","Legacy","Female","49","India","Aquamarine","","10680.18","0.679","49104.93","243.3"
"Jaguar","S-Type","Male","47","India","Red","1","63364.02","0.4856","33874.49","210.4"
"Suzuki","Kizashi","Female","26","India","Goldenrod","1","54483.92","0.2416","49146.79","214.2"
"GMC","Envoy XUV","Female","38","India","Violet","","59052.54","0.3246","24457.98","142.5"
"Volkswagen","Phaeton","Female","41","India","Blue","","29945.68","0.094","28323.94","137.5"
"Mitsubishi","Excel","Female","46","India","Pink","","62141.77","0.2507","29704","148"
"Audi","S6","Male","73","India","Indigo","","91851.74","0.5754","43391.12","178.2"
"Saab","09-Mar","Male","38","India","Khaki","1","56744.71","0.5906","25923.43","141.4"
"GMC","Yukon XL 1500","Male","71","India","Khaki","1","51047.4","0.5158","28002.81","124.3"
"Mitsubishi","GTO","Male","48","India","Indigo","","44458.83","0.2821","44781.36","245.9"
"Land Rover","Range Rover","Male","25","India","Goldenrod","","30120.31","0.3068","17865.19","220.4"
"Mercedes-Benz","S-Class","Female","35","India","Turquoise","","88367.29","0.4358","39024.33","188.8"
"Toyota","Tundra","Male","43","India","Fuscia","","38767.66","0.1729","29928.04","215.2"
"Mercedes-Benz","E-Class","Female","40","India","Red","1","10681.04","0.6062","30337.21","213.7"
"Audi","4000CS Quattro","Male","44","India","Red","1","83442.31","0.522","44390.85","126.2"
"GMC","Envoy","Female","38","India","Aquamarine","","96691.74","0.4205","46240.72","217.9"
"Ford","Ranger","Female","54","India","Maroon","","43347.44","0.4982","35964.83","228.9"
"Chrysler","LHS","Female","30","India","Green","1","75956.4","0.003","5702.71","188.7"
"Bentley","Continental Flying Spur","Female","32","India","Mauv","","98315.87","0.0425","25410.13","177.8"
"Mercedes-Benz","G55 AMG","Female","59","India","Blue","","53404.25","0.444","39004.64","183.8"
"Pontiac","Solstice","Male","45","India","Aquamarine","","89707.19","0.694","26927.79","145.3"
"Hummer","H2","Male","24","India","Goldenrod","1","35498.24","0.6691","16294.41","180.3"
"Toyota","Matrix","Male","31","India","Indigo","1","26235.34","0.5683","9796.5","231.2"
"Ford","F250","Male","27","India","Teal","1","89122.61","0.2922","4852.96","237.9"
"Audi","5000CS","Female","66","India","Orange","1","67428.56","0.5663","10629.39","237.8"
"Pontiac","1000","Female","53","India","Puce","1","12087.54","0.1898","25715.09","190.8"
"Saab","900","Male","67","India","Orange","1","79248.4","0.0439","49269.05","127.6"
"Audi","5000S","Female","69","India","Green","1","65248.94","0.2338","21763.69","225.5"
"Volkswagen","Golf","Female","44","India","Blue","1","73168.89","0.1182","11264.72","220.8"
"Volvo","S40","Male","56","India","Puce","1","34852.4","0.1326","45912.46","183.7"
"Dodge","Viper","Female","60","India","Crimson","","26185.71","0.6901","27551.81","136.5"
"Lexus","ES","Male","39","India","Maroon","","99973.44","0.6294","32521.53","228.1"
"Ford","Bronco II","Male","56","India","Maroon","1","15755.04","0.4457","42585.83","131.1"
"Volkswagen","GLI","Female","48","India","Fuscia","","63614.72","0.1175","49010.84","240.5"
"Dodge","Ram 1500","Female","37","India","Purple","1","10127.51","0.1007","11494.47","147.2"
"Hyundai","Accent","Female","52","India","Aquamarine","1","82393.82","0.3932","31593.35","204.2"
"Chrysler","Imperial","Female","28","India","Blue","1","74915.58","0.3371","8085.38","232.3"
"Mitsubishi","Raider","Female","45","India","Fuscia","","29728.29","0.0829","34007.65","163.6"
"Mitsubishi","Galant","Female","54","India","Blue","","42685.76","0.1853","6923.19","131.6"
"Land Rover","Range Rover","Male","38","India","Purple","1","30781.97","0.1768","18405.32","153.7"
"Mercedes-Benz","SLK-Class","Male","56","India","Yellow","","26995.31","0.1435","18389.97","155.4"
"Chevrolet","Cobalt","Male","70","India","Goldenrod","","46535.95","0.6402","24267.77","148.3"
